"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Hovel Hurler","WR","U","71285","3.93","14500","5.05","7404","96.1%","52.0%","1185","48.9%","1877","55.3%","3062","52.8%","4372","51.4%","1.4pp"
"Kirol, Attentive First-Year","WR","R","19592","2.95","6579","3.33","2401","92.7%","51.4%","419","","599","55.3%","1018","54.1%","1389","49.5%","4.7pp"
"Lluwen, Imperfect Naturalist","BG","R","13495","2.32","5897","2.52","5","","","1","","1","","2","","3","",""
"Maralen, Fae Ascendant","UBG","R","14001","2.47","5623","2.64","0","","","0","","0","","0","","0","",""
"Merrow Skyswimmer","WU","C","217902","4.60","51641","5.86","4045","73.5%","50.3%","717","49.9%","1001","52.0%","1718","51.2%","2329","49.7%","1.4pp"
"Mischievous Sneakling","UB","C","250054","4.89","45319","6.87","4","0.4%","","0","","1","","1","","3","",""
"Morcant's Loyalist","BG","U","47870","3.13","17082","3.50","0","","","0","","0","","0","","0","",""
"Noggle Robber","RG","U","70921","3.89","19857","4.74","2185","86.7%","54.4%","371","","523","53.7%","894","55.0%","1294","54.1%","0.9pp"
"Prideful Feastling","WB","C","242939","4.74","39004","6.80","4729","83.7%","51.7%","842","51.1%","1102","52.5%","1944","51.9%","2747","51.5%","0.3pp"
"Raiding Schemes","RG","R","50896","6.08","6487","9.18","24","3.2%","","6","","6","","12","","12","",""
"Reaping Willow","WB","U","55993","3.28","16148","3.88","2532","90.9%","53.0%","422","","647","57.2%","1069","56.2%","1468","51.0%","5.3pp"
"Sanar, Innovative First-Year","UR","R","11252","2.02","7004","2.10","1333","99.4%","56.4%","209","","362","","571","62.2%","772","52.3%","9.8pp"
"Shadow Urchin","BR","R","18394","2.87","5634","3.25","1295","97.7%","51.6%","243","","310","","553","51.9%","745","51.4%","0.5pp"
"Stoic Grove-Guide","BG","C","266859","5.66","38318","8.05","0","0.0%","","0","","0","","0","","0","",""
"Sygg's Command","WU","R","19254","3.06","6138","3.51","60","","","9","","14","","23","","37","",""
"Tam, Mindful First-Year","UG","R","12101","2.11","5730","2.22","50","","","8","","17","","25","","26","",""
"Thoughtweft Lieutenant","WG","U","63390","3.93","16150","4.57","58","8.3%","","6","","13","","19","","39","",""
"Trystan's Command","BG","R","11964","2.17","6282","2.28","9","","","3","","1","","4","","5","",""
"Twinflame Travelers","UR","U","65921","4.03","18586","4.63","295","28.9%","","56","","66","","122","","172","",""
"Vibrance","RG","M","5095","1.66","3118","1.71","540","100.0%","50.9%","82","","127","","209","","331","",""
"Voracious Tome-Skimmer","UB","U","97150","5.57","14313","7.70","0","0.0%","","0","","0","","0","","0","",""
"Wary Farmer","WG","C","254882","5.33","42074","7.38","3401","60.4%","49.7%","609","48.4%","811","50.8%","1420","49.8%","1973","49.4%","0.4pp"
"Wistfulness","UG","M","4879","1.62","3158","1.67","8","","","0","","3","","3","","5","",""
"Chronicle of Victory","","M","3459","1.20","3137","1.20","238","","","44","","61","","105","","133","",""
"Dawn-Blessed Pennant","","U","97282","5.10","15431","7.14","284","27.5%","","46","","84","","130","","154","",""
"Firdoch Core","","C","298555","6.50","34788","9.71","1201","30.6%","49.4%","209","","267","","476","","719","50.3%",""
"Foraging Wickermaw","","C","283528","5.96","51267","8.22","3722","57.0%","51.3%","701","51.9%","907","51.5%","1608","51.7%","2117","51.0%","0.7pp"
