"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Shinestriker","U","U","19822","4.25","5827","4.90","92","7.3%","","19","","14","","33","","59","",""
"Silvergill Mentor","U","U","19987","4.32","5268","5.09","0","0.0%","","0","","0","","0","","0","",""
"Silvergill Peddler","U","C","79239","6.64","11825","9.19","0","0.0%","","0","","0","","0","","0","",""
"Spell Snare","U","U","31076","6.64","3716","9.78","2","0.1%","","0","","0","","0","","2","",""
"Stratosoarer","U","C","78015","6.22","11208","8.83","22","0.7%","","7","","1","","8","","14","",""
"Summit Sentinel","U","C","77330","6.38","11940","8.85","4","0.1%","","1","","0","","1","","3","",""
"Sunderflock","U","R","4006","2.62","1579","2.77","5","","","0","","2","","2","","3","",""
"Swat Away","U","U","21812","4.57","5244","5.66","0","0.0%","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","3384","2.25","1577","2.40","128","22.6%","","22","","29","","51","","76","",""
"Tanufel Rimespeaker","U","U","20146","4.37","5091","5.28","7","1.0%","","2","","2","","4","","3","",""
"Temporal Cleansing","U","C","74933","5.94","14166","7.91","26","0.8%","","4","","9","","13","","13","",""
"Thirst for Identity","U","U","26267","5.43","4123","7.44","13","1.2%","","3","","6","","9","","4","",""
"Unexpected Assistance","U","C","70903","5.61","13523","7.39","4","0.1%","","0","","1","","1","","3","",""
"Unwelcome Sprite","U","U","21189","4.45","5426","5.40","23","2.0%","","3","","7","","10","","13","",""
"Wanderwine Distracter","U","C","83885","7.41","10309","10.73","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Farewell","U","U","23363","4.91","5185","6.08","6","0.5%","","0","","3","","3","","3","",""
"Wild Unraveling","U","C","81221","6.97","11019","9.91","0","0.0%","","0","","0","","0","","0","",""
"Auntie's Sentence","B","C","72365","5.70","9832","8.09","4","0.2%","","0","","1","","1","","3","",""
"Barbed Bloodletter","B","C","83391","7.16","9765","10.50","3","0.1%","","0","","0","","0","","3","",""
"Bile-Vial Boggart","B","C","76287","6.24","9718","8.90","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","1357","1.71","736","1.76","29","","","4","","9","","13","","14","",""
"Blight Rot","B","C","45272","3.71","11283","4.53","186","10.4%","","36","","43","","79","","108","",""
"Blighted Blackthorn","B","C","80027","6.64","10132","9.62","137","3.7%","","25","","31","","56","","82","",""
"Bloodline Bidding","B","R","5426","3.21","1556","3.54","3","","","1","","0","","1","","2","",""
"Boggart Mischief","B","U","18479","4.20","3871","4.96","0","0.0%","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","79625","6.77","10147","9.56","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","47175","3.80","11661","4.70","201","10.6%","","27","","55","","82","","119","",""
"Champion of the Weird","B","R","4549","2.85","1346","3.25","8","","","2","","2","","4","","4","",""
"Creakwood Safewright","B","U","17287","3.82","4750","4.47","10","0.9%","","0","","1","","1","","9","",""
"Darkness Descends","B","U","28037","5.95","3287","8.73","6","0.4%","","2","","1","","3","","3","",""
"Dawnhand Dissident","B","R","3813","2.40","1675","2.56","41","","","8","","8","","16","","25","",""
