"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Forecasting Fortune Teller","U","C","120999","4.27","37578","5.15","229438","89.7%","56.5%","41625","57.3%","63502","57.9%","105127","57.7%","123530","55.4%","2.3pp"
"Geyser Leaper","U","C","187431","7.20","23709","10.47","45374","29.2%","52.2%","7623","48.4%","12715","53.5%","20338","51.6%","25141","52.6%","-1.0pp"
"Giant Koi","U","C","183117","6.78","26550","9.71","77587","44.4%","53.9%","13529","51.7%","22344","55.5%","35873","54.0%","41864","53.6%","0.4pp"
"Gran-Gran","U","U","40785","4.04","13148","4.56","75962","83.3%","57.2%","13689","63.5%","20846","56.8%","34535","59.5%","41261","55.4%","4.1pp"
"Honest Work","U","U","61908","6.13","6546","9.23","12929","30.2%","50.1%","2167","46.7%","3494","52.6%","5661","50.4%","7243","49.9%","0.5pp"
"Iguana Parrot","U","C","165786","6.01","23109","8.67","80907","53.2%","54.0%","14088","53.2%","22209","54.7%","36297","54.1%","44545","53.8%","0.4pp"
"Invasion Submersible","U","U","30740","3.22","15017","3.48","103810","91.9%","58.4%","18245","60.3%","29738","63.0%","47983","62.0%","55691","55.2%","6.8pp"
"It'll Quench Ya!","U","C","147829","5.19","33825","6.62","181940","79.9%","56.6%","32224","58.8%","50785","58.0%","83009","58.3%","97496","55.1%","3.2pp"
"Katara, Bending Prodigy","U","U","28801","2.99","10193","3.44","64251","90.7%","54.7%","11233","54.6%","18299","56.3%","29532","55.6%","34751","53.7%","1.9pp"
"Knowledge Seeker","U","U","34183","3.41","13799","3.85","89017","90.9%","57.0%","15971","59.3%","25250","58.2%","41221","58.6%","47713","55.5%","3.1pp"
"The Legend of Kuruk","U","M","3448","1.69","2431","1.71","21462","92.9%","59.2%","3709","66.6%","6196","66.0%","9905","66.3%","11485","53.3%","13.0pp"
"Lost Days","U","C","147814","5.25","40486","6.43","229917","83.5%","57.3%","38297","55.4%","65495","60.8%","103792","58.8%","123416","55.8%","3.0pp"
"Master Pakku","U","U","58256","5.65","9293","7.77","29799","49.2%","52.9%","5263","50.3%","8413","54.1%","13676","52.6%","16069","53.2%","-0.5pp"
"The Mechanist, Aerial Artisan","U","R","8008","2.09","4660","2.18","36431","92.0%","56.2%","6325","60.3%","10523","58.6%","16848","59.3%","19537","53.5%","5.8pp"
"North Pole Patrol","U","U","51892","4.86","11470","6.20","56394","74.3%","55.2%","9842","55.3%","15839","56.0%","25681","55.7%","30629","54.6%","1.1pp"
"Octopus Form","U","C","165422","5.90","31655","7.85","147920","70.2%","56.2%","24598","55.3%","42085","58.7%","66683","57.5%","79671","54.8%","2.6pp"
"Otter-Penguin","U","C","179262","6.86","31011","9.28","102548","50.1%","54.7%","18338","53.8%","28949","55.8%","47287","55.0%","55148","54.4%","0.7pp"
"Rowdy Snowballers","U","C","176773","6.47","22610","9.46","57551","38.9%","51.9%","10031","47.2%","15649","54.2%","25680","51.4%","31619","52.3%","-0.8pp"
"Secret of Bloodbending","U","M","15836","5.21","2135","7.80","1902","13.3%","47.7%","278","","573","52.7%","851","48.4%","1026","46.5%","1.9pp"
"Serpent of the Pass","U","U","50973","4.87","9934","6.32","43784","66.6%","53.0%","7297","48.8%","13084","55.5%","20381","53.1%","23316","52.9%","0.2pp"
"Sokka's Haiku","U","U","65219","6.18","11887","8.25","37094","46.9%","55.6%","6162","54.4%","10838","58.2%","17000","56.8%","19747","54.4%","2.4pp"
"The Spirit Oasis","U","U","65485","6.67","8816","9.38","9755","16.8%","49.0%","1698","50.9%","2544","56.1%","4242","54.0%","4622","42.6%","11.4pp"
"Spirit Water Revival","U","R","13850","3.12","4695","3.40","28027","82.0%","54.7%","4839","51.8%","7891","58.0%","12730","55.7%","15249","53.8%","1.9pp"
"Teo, Spirited Glider","U","U","38843","3.87","11129","4.52","63187","83.4%","55.7%","10732","55.7%","18100","57.7%","28832","57.0%","34431","54.5%","2.5pp"
"Tiger-Seal","U","R","29469","5.59","4131","8.27","4892","17.8%","51.9%","850","52.5%","1459","54.0%","2309","53.4%","2577","50.6%","2.8pp"
"Ty Lee, Chi Blocker","U","R","8222","2.06","4552","2.18","35514","91.8%","57.0%","6203","58.1%","10179","61.3%","16382","60.1%","18969","54.2%","5.8pp"
"The Unagi of Kyoshi Island","U","R","7454","1.99","4463","2.08","35598","91.9%","56.5%","6002","60.4%","10429","60.3%","16431","60.3%","19105","53.2%","7.1pp"
"Wan Shi Tong, Librarian","U","M","2929","1.47","2203","1.48","20240","92.2%","59.1%","3484","61.9%","5971","67.4%","9455","65.4%","10726","53.6%","11.7pp"
"Waterbender Ascension","U","R","17750","3.89","3025","4.96","11176","54.6%","48.8%","1924","43.5%","2915","47.6%","4839","45.9%","6338","51.0%","-5.1pp"
"Waterbending Lesson","U","C","155661","5.46","31506","7.21","159731","75.9%","55.7%","27046","54.1%","44954","57.9%","72000","56.5%","86000","55.0%","1.5pp"
"Waterbending Scroll","U","U","58104","5.78","10286","7.59","31955","47.1%","53.0%","5676","50.2%","9331","55.6%","15007","53.5%","16862","52.4%","1.2pp"
"Watery Grasp","U","C","151207","5.36","34862","6.76","182690","77.9%","56.8%","31202","54.8%","52142","60.2%","83344","58.2%","98961","55.6%","2.5pp"
"Yue, the Moon Spirit","U","R","13718","3.12","3464","3.64","19534","77.2%","52.5%","3242","51.6%","5565","53.8%","8807","53.0%","10729","52.0%","1.0pp"
"Azula Always Lies","B","C","178021","6.69","23906","9.42","70412","45.1%","54.0%","12161","53.3%","18039","56.1%","30200","55.0%","39867","53.3%","1.7pp"
"Azula, On the Hunt","B","U","39553","3.95","8892","4.81","50208","85.5%","54.1%","8527","53.4%","13374","55.3%","21901","54.6%","28141","53.6%","0.9pp"
"Beetle-Headed Merchants","B","C","185296","7.37","22185","10.59","50514","35.0%","52.4%","8361","49.7%","13674","52.8%","22035","51.6%","28705","52.9%","-1.3pp"
"Boiling Rock Rioter","B","R","13209","3.03","4152","3.40","24375","79.9%","54.5%","4195","55.4%","6377","56.6%","10572","56.1%","13804","53.3%","2.9pp"
"Buzzard-Wasp Colony","B","U","58587","5.78","7733","7.99","25004","50.1%","51.8%","4199","47.2%","6502","52.9%","10701","50.6%","14334","52.6%","-1.9pp"
"Callous Inspector","B","C","170180","6.25","24981","8.58","106833","65.0%","54.3%","19047","56.2%","27376","54.0%","46423","54.9%","60353","53.9%","1.0pp"
"Canyon Crawler","B","C","182393","6.89","23134","9.88","69243","45.9%","54.4%","12055","52.2%","18556","56.7%","30611","54.9%","38854","53.9%","1.0pp"
"Cat-Gator","B","U","58835","5.93","11152","7.41","39822","53.8%","55.9%","6553","52.7%","10735","60.7%","17288","57.7%","22500","54.4%","3.3pp"
"Corrupt Court Official","B","C","156440","5.61","27826","7.40","140477","76.4%","55.2%","25315","55.7%","36644","56.1%","61959","56.0%","78330","54.6%","1.4pp"
